id,semantic_groups,preflabel,synonyms,description,name
DOID:0060728,DISO,NGLY1-deficiency,congenital disorder of deglycosylation|congenital disorder of glycosylation type Iv|deficiency of N-glycanase 1|NGLY1-CDDG|Alacrimia-choreoathetosis-liver dysfunction syndrome,Human disease,NA
GO:0006515,PHYS,misfolded or incompletely synthesized protein catabolic process,degradation of misfolded or incompletely synthesized proteins|misfolded or incompletely synthesized protein breakdown|misfolded or incompletely synthesized protein catabolism|misfolded or incompletely synthesized protein degradation,The chemical reactions and pathways resulting in the breakdown of misfolded or attenuated proteins.,misfolded or incompletely synthesized protein catabolic process
GO:0006516,PHYS,glycoprotein catabolic process,glycoprotein breakdown|glycoprotein catabolism|glycoprotein degradation,"The chemical reactions and pathways resulting in the breakdown of glycoproteins, any protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but",glycoprotein catabolic process
GO:0005829,ANAT,cytosol,GO:0005829,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.",NA
GO:0006517,PHYS,protein deglycosylation,glycoprotein deglycosylation|GO:0006517,The removal of sugar residues from a glycosylated protein.,protein deglycosylation
GO:0000224,PHYS,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,PNGase|N-linked-glycopeptide-(N-acetyl-beta-D-glucosaminyl)-L-asparagine amidohydrolase activity,Catalysis of the reaction: 4-N-(N-acetyl-D-glucosaminyl)-protein + H2O = N-acetyl-beta-D-glucosaminylamine + peptide L-aspartate. This reaction is the hydrolysis of an N4-(acetyl-beta-D-glucosaminyl)asparagine residue in which the N-acetyl-D-glucosam,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
ClinVarVariant:50962,VARI,NGLY1 Variant 50962,NA,NA,NGLY1 Variant 50962
CL:0000738,ANAT,white blood cell,leukocyte,type of cells of the immunological system,white blood cell
HP:0000486,DISO,strabismus,kreol,Human disease,VANGL planar cell polarity 2
HP:0000522,DISO,Alacrima,Alachryma,abnormality in tear production,NA
HP:0001250,DISO,epileptic seizure,seizure,disease,epileptic seizure
HP:0001252,DISO,Hypotonia,Low Muscle Tone|Muscular hypotonia,Abnormally low muscle tone,NA
HP:0001263,DISO,Developmental disability,HP:0001263,Prevention,Developmental disability
HP:0001265,DISO,hyporeflexia,HP:0001265,NA,NA
HP:0001395,DISO,liver cirrhosis,Cirrhosis|cirrhosis of liver|cirrhosis of the liver|liver cirrhosis,disease of the liver,liver cirrhosis
HP:0001773,DISO,Short foot,Short feet|Small feet|Hypoplastic feet,Short foot refers to a foot that is unusually short.,Short foot
HP:0001999,DISO,Abnormal facial shape,Dysmorphic facies,An abnormal morphology (form) of the face or its components.,Abnormal facial shape
HP:0002019,DISO,constipation,HP:0002019,A bowel dysfunction that is characterized by infrequent or difficult evacuation of feces.,NA
HP:0001249,DISO,intellectual disability,ID|general learning disability|IDD|intellectual developmental disability|mental retardation|syndromic intellectual disability,generalized neurodevelopmental disorder,intellectual disability
HP:0002650,DISO,scoliosis,HP:0002650,spinal medical condition,NA
HP:0002910,DISO,Elevated transaminases,Elevated hepatic transaminases,Elevations of the levels of transaminases in the serum.,Elevated transaminases
HP:0004305,DISO,movement disease,movement disease,Human disease,movement disease
HP:0006958,DISO,Abnormal auditory evoked potentials,ABR abnormalities,"An abnormality of the auditory evoked potentials, which are used to trace the signal generated by a sound, from the cochlear nerve, through the lateral lemniscus, to the medial geniculate nucleus, and to the cortex.",Abnormal auditory evoked potentials
HP:0009830,DISO,peripheral nervous system disease,peripheral neuropathy|peripheral nerve disease,A nervous system disease that affects the peripheral nervous system.,peripheral nervous system disease
HP:0012638,DISO,Imaging of brain abnormal,Abnormal brain imaging,NA,Imaging of brain abnormal
HP:0012804,DISO,corneal ulcer,corneal ulceration,Human disease,corneal ulcer
HP:0200055,DISO,Small hand,Small hands,NA,Small hand
HGNC:17646,GENE,NGLY1,CDDG|CDG1V|N-glycanase 1|NGLY1|PNG1|PNGase,gene of the species Homo sapiens,N-glycanase 1
UniProt:Q96IV0,GENE,N-glycanase 1,N-glycanase 1|NGLY1|Peptide:N-glycanase,mammalian protein found in Homo sapiens,N-glycanase 1
HP:0000297,DISO,Facial hypotonia,Hypotonic facies ,Reduced muscle tone of a muscle that is innervated by the facial nerve (the seventh cranial nerve).,Facial hypotonia
HP:0004325,DISO,Decreased body weight,Low weight,Reduction inexisting body weight.,Decreased body weight
HP:0000275,DISO,Narrow face,Thin facies,"Bizygomatic (upper face) and bigonial (lower face) width are both more than 2 standard deviations below the mean (objective); or, an apparent reduction in the width of the upper and lower face (subjective).",Narrow face
HP:0009938,DISO,Sunken cheeks,Hollow cheeks,Lack or loss of the soft tissues between the zygomata and mandible.,Sunken cheeks
HP:0000463,DISO,Anteverted nares,Upturned nasal tip,Anteriorly-facing nostrils viewed with the head in the Frankfurt horizontal and the eyes of the observer level with the eyes of the subject. This gives the appearance of an upturned nose (upturned nasal tip).,Anteverted nares
HP:0000508,DISO,ptosis,blepharoptosis|drooping eyelid,An eye disease characterized by the drooping or falling of the upper or lower eyelid.,NA
HP:0000248,DISO,brachycephaly,HP:0000248 ,NA,NA
HP:0005484,DISO,Postnatal microcephaly,Acquired microcephaly,"Microcephaly (HP:0000252) with onset in the postnatal period, that is, the head circumference is in the normal range at birth but falls behind normal values later in development.",Postnatal microcephaly
HP:0004302,DISO,Functional motor problems,Motor deficits,NA,Functional motor problems
HP:0010841,DISO,Multifocal epileptiform discharges,Multifocal epileptiform activity,A abnormality in cerebral electrical activity recorded along the scalp by electroencephalography (EEG) and being identified at multiple locations (foci).,Multifocal epileptiform discharges
HP:0002072,DISO,choreatic disease,choreatic disease|hereditary chorea|chorea,"A movement disease characterized by brief, semi-directed, irregular movements that not repetitive or rhythmic, but appear to flow from one muscle to the next.",choreatic disease
HP:0002305,DISO,Athetosis,HP:0002305 ,NA,NA
HP:0001336,DISO,Myoclonus,clonic convulsions,symptom,NA
HP:0002345,DISO,Action tremor,Ataxic tremor,"A tremor present when the limbs are active, either when outstretched in a certain position or throughout a voluntary movement.",Action tremor
HP:0001332,DISO,dystonia,dystonic disease|dystonia|Dystonia,Neurological movement disorder,NA
HP:0001310,DISO,Dysmetria,Dysmetric movements,A type of ataxia characterized by the inability to carry out movements with the correct range and motion across the plane of more than one joint related to incorrect estimation of the distances required for targeted movements.,NA
HP:0012448,DISO,Delayed myelination,HP:0012448,Delayed myelination.,Delayed myelination
HP:0012444,DISO,Brain atrophy,Cerebral or brain atrophy,Partial or complete wasting (loss) of brain tissue that was once present.,Brain atrophy
HP:0001272,DISO,Cerebellar atrophy,Degeneration of cerebellum,Atrophy (wasting) of the cerebellum.,Cerebellar atrophy
HP:0012705,DISO,Abnormal metabolic brain imaging by MRS,Abnormalities in brain MRS-measured metabolites,An anomaly of metabolism in the brain identified by magnetic resonance spectroscopy (MRS).,Abnormal metabolic brain imaging by MRS
HP:0012706,DISO,Elevated brain choline level by MRS,High choline in brain by MRS,An increase in the level of choline-containing compounds in the brain identified by magnetic resonance spectroscopy (MRS).,Elevated brain choline level by MRS
HP:0003785,DISO,Decreased CSF homovanillic acid,Decreased CSF HVA,Decreased concentration of homovanillic acid (HVA) in the cerebrospinal fluid. HVA is a metabolite of dopamine.,Decreased CSF homovanillic acid
HP:0040209,DISO,Decreased CSF biopterin level,Low CSF BH4 (tetrahydrobiopterin),Decreased concentration of biopterin in the cerebrospinal fluid (CSF).,Decreased CSF biopterin level
HP:0000577,DISO,exotropia,"Divergent Strabismus|Divergent concomitant strabismus|Divergent concomitant strabismus (disorder)|Exotropia (disorder)|Exotropia NOS (disorder)|Exotropia, unspecified|Unspecified exotropia (disorder)",Human disease,NA
HP:0000565,DISO,esotropia,Convergence in manifest squint (finding)|Internal Strabismus|crossed eyes|Convergence in manifest squint,Esotropia is a strabismus in which the eye turns inward toward the nose.,NA
HP:0011496,DISO,corneal neovascularization,"Corneal neovascularization (disorder)|Corneal neovascularization NOS (disorder)|Corneal neovascularization, unspecified|Unspecified corneal neovascularization (disorder)",Human disease,corneal neovascularization
HP:0000648,DISO,optic atrophy,Atrophy of optic disc (disorder)|Unspecified optic atrophy (disorder)|atrophy of optic disc,Human disease,optic atrophy
HP:0008051,DISO,Abnormality of retinal pigmentation,Retinal pigmentary changes,Human phenotype,Abnormality of retinal pigmentation
HP:0000548,DISO,Cone/cone-rod dystrophy,Cone distrophy,Human phenotype,Cone/cone-rod dystrophy
HP:0010536,DISO,central sleep apnea,central sleep apnea|primary central sleep apnea|central sleep apnea syndrome,"A sleep apnea that is characterized by a malfunction of the basic neurological controls for breathing rate and the failure to give the signal to inhale, causing the individual to miss one or more cycles of breathing.",central sleep apnea
HP:0002870,DISO,obstructive sleep apnea,obstructive sleep apnea syndrome,"A sleep apnea that is characterized by repeated collapse and obstruction of the upper airway during sleep, which results in reduced airflow (hypopnea) or complete airflow cessation (apnea), oxygen desaturation, and arousals from sleep.",obstructive sleep apnea
HP:0001744,DISO,Splenomegaly,NA,NA,NA
HP:0001397,DISO,fatty liver disease,fatty liver disease|Fatty change of liver|Steatosis of liver (disorder)|alcoholic fatty liver|hepatic lipidosis|fatty degeneration of the liver|steatosis of the liver|Fatty liver disease,A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.,fatty liver disease
HP:0002240,DISO,hepatomegaly,enlarged liver|swollen liver,symptom,NA
HP:0012340,DISO,Decreased resting energy expenditure,Low resting energy expenditure,An reduction in the number of calories used per unit time.,Decreased resting energy expenditure
HP:0003146,DISO,Hypocholesterolemia,Cholesterol depletion,An decreased concentration of cholesterol in the blood.,NA
HP:0002750,DISO,Delayed skeletal maturation,Delayed bone age,A decreased rate of skeletal maturation. Delayed skeletal maturation can be diagnosed on the basis of an estimation of the bone age from radiographs of specific bones in the human body.,Delayed skeletal maturation
HP:0001382,DISO,Joint hypermobility,NA,The ability of a joint to move beyond its normal range of motion.,Joint hypermobility
HP:0002673,DISO,Coxa valga,NA,NA,Coxa valga
HP:0001822,DISO,Bunion,Hallux valgus,deformity characterized by lateral deviation of the great toe,NA
HP:0003031,DISO,Ulnar bowing,NA,Bending of the diaphysis (shaft) of the ulna.,Ulnar bowing
HP:0006009,DISO,Broad phalanx,Widened phalanges,Increased side-to-side width of one or more phalanges of the fingers or toes.,Broad phalanx
HP:0001783,DISO,Broad metatarsal,Shortened and widened metatarsals,Increased side-to-side width of a metatarsal bone.,Broad metatarsal
HP:0000966,DISO,hypohidrosis,Hypohidrosis (disorder)|Oligohidrosis,Human disease,NA
HP:0031107,DISO,Decreased fibular diameter,Thin fibula|Thinning of the fibulas,Human phenotype,Decreased fibular diameter
HP:0012785,DISO,Flexion contracture of finger,Flexion deformity of finger,Human phenotype,Flexion contracture of finger
HP:0031051,DISO,Tarsal sclerosis,Sclerosis of the tarsal bones,Human phenotype,Tarsal sclerosis
HP:0030043,DISO,Hip Subluxation,Partial hip dislocation,Human phenotype,Hip Subluxation
HP:0001929,DISO,Reduced factor XI activity,Low factor XI activity|Factor XI deficiency,Human phenotype,Reduced factor XI activity
HP:0011858,DISO,Reduced factor IX activity,Low factor IX activity,Human phenotype,Reduced factor IX activity
HP:0012201,DISO,Reduced prothrombin activity,Reduced factor II activity|Low factor II activity,Human phenotype,Reduced prothrombin activity
HP:0011900,DISO,Hypofibrinogenemia,Low fibrinogen activity,Human phenotype,NA
HP:0005543,DISO,Reduced protein C activity,Low protein C activity|Protein C deficiency,Human phenotype,Reduced protein C activity
HP:0001649,DISO,tachycardia,tachyarrhythmia|increased pulse rate|Increased heart rate,rapid heartrate that exceeds the range of the normal resting heartrate for age.,NA
HP:0000539,DISO,Abnormality of refraction,Refractive errors,Human phenotype,Abnormality of refraction
HP:0007141,DISO,Sensorimotor neuropathy,Sensorimotor peripheral neuropathy,Human phenotype,Sensorimotor neuropathy
HP:0007327,DISO,Mixed demyelinating and axonal polyneuropathy,Axonal sensorimotor polyneuropathy with demyelinative features,Human phenotype,Mixed demyelinating and axonal polyneuropathy
HP:0025455,DISO,Decreased CSF 5-hydroxyindolacetic acid,Decreased CSF 5-HIAA,Human phenotype,Decreased CSF 5-hydroxyindolacetic acid
HP:0030978,DISO,Decreased CSF/serum albumin ratio,Low CSF/serum albumin ratio,Human phenotype,Decreased CSF/serum albumin ratio
HP:0025458,DISO,Decreased CSF albumin,Low CSF albumin,Human phenotype,Decreased CSF albumin
HP:0025457,DISO,Decreased CSF total protein,Low CSF total protein,Human phenotype,Decreased CSF total protein
HP:0500021,DISO,Reduced brain gamma-aminobutyric acid level by MRS,Deficit of gamma-aminobutyric acid (Glx) in brain by MRS,Human phenotype,Reduced brain gamma-aminobutyric acid level by MRS
HP:0025460,DISO,High myoinositol in brain by MRS,High myo-inositol in brain by MRS,An elveated level of myoinositol in the brain identified by magnetic resonance spectroscopy (MRS).,High myoinositol in brain by MRS
HP:0100924,DISO,Sclerosis of toe phalanx,Sclerosis of the phalanges of the toes,Human phenotype,Sclerosis of toe phalanx
HP:0012370,DISO,visible zygomatic arches,NA,Human phenotype,visible zygomatic arches
HP:0031058,DISO,impaired daily living skills,NA,Human phenotype,impaired daily living skills
HP:0012708,DISO,low NAA in brain by MRS,NA,Human phenotype,low NAA in brain by MRS
HP:0030980,DISO,deficit of glutamine in brain by MRS,NA,Human phenotype,deficit of glutamine in brain by MRS
HP:0031161,DISO,deficit of glutamate in brain by MRS,NA,Human phenotype,deficit of glutamate in brain by MRS
HP:0500021,DISO,deficit of gamma-aminobutyric acid (Glx) in brain by MRS,NA,Human phenotype,deficit of gamma-aminobutyric acid (Glx) in brain by MRS
HP:0025460,DISO,High myo-inositol in brain by MRS,NA,Human phenotype,High myo-inositol in brain by MRS
HP:0025457,DISO,Low CSF total protein,NA,Human phenotype,Low CSF total protein
HP:0025458,DISO,Low CSF albumin,NA,Human phenotype,Low CSF albumin
HP:0030978,DISO,Low CSF/serum albumin ratio,NA,Human phenotype,Low CSF/serum albumin ratio
HP:0025455,DISO,decreased CSF 5-HIAA (5-hydroxyindolacetic acid),NA,Human phenotype,decreased CSF 5-HIAA (5-hydroxyindolacetic acid)
HP:0007141,DISO,axonal sensorimotor polyneuropathy,NA,Human phenotype,axonal sensorimotor polyneuropathy
HP:0007327,DISO,axonal sensorimotor polyneuropathy with demyelinative features,NA,Human phenotype,axonal sensorimotor polyneuropathy with demyelinative features
HP:0012333,DISO,abnormal QSWEATs,NA,Human phenotype,abnormal QSWEATs
HP:0030001,DISO,lagopthalmous,NA,Human phenotype,NA
HP:0000539,DISO,refractive errors,NA,Human phenotype,refractive errors
HP:0030906,DISO,persistent nutritive suckle swallow,NA,Human phenotype,persistent nutritive suckle swallow
HP:0031146,DISO,poor oral bolus,NA,Human phenotype,poor oral bolus
HP:0031162,DISO,pharyngeal swallow response delays,NA,Human phenotype,pharyngeal swallow response delays
HP:0002015,DISO,Premature spillage,NA,Human phenotype,Premature spillage
HP:0005216,DISO,developmental delay in mastication,NA,Human phenotype,developmental delay in mastication
HP:0001649,DISO,tachycardia,NA,Human phenotype,NA
HP:0031144,DISO,coarse or inhomogeneous liver texture,NA,Human phenotype,coarse or inhomogeneous liver texture
HP:0005543,DISO,low coagulation protein C activity,NA,Human phenotype,low coagulation protein C activity
HP:0011900,DISO,low fibrinogen level,NA,Human phenotype,low fibrinogen level
HP:0012201,DISO,low factor II activity,NA,Human phenotype,low factor II activity
HP:0011858,DISO,low factor IX activity,NA,Human phenotype,low factor IX activity
HP:0001929,DISO,low factor XI activity,NA,Human phenotype,low factor XI activity
HP:0000938,DISO,low femoral bone density,NA,Human phenotype,low femoral bone density
HP:0031164,DISO,growth arrest lines,NA,Human phenotype,growth arrest lines
HP:0003835,DISO,dislocations or subluxations involving the shoulder joints ,NA,Human phenotype,dislocations or subluxations involving the shoulder joints 
HP:0030043,DISO,dislocations or subluxations involving the hips joints,NA,Human phenotype,dislocations or subluxations involving the hips joints
HP:0031051,DISO,sclerosis of the tarsal bones,NA,Human phenotype,sclerosis of the tarsal bones
HP:0100924,DISO,sclerosis of the phalanges bones,NA,Human phenotype,sclerosis of the phalanges bones
HP:0012785,DISO,flexion deformity of the fingers,NA,Human phenotype,flexion deformity of the fingers
HP:0031107,DISO,thinning of the fibulas,NA,Human phenotype,thinning of the fibulas
HP:0003174,DISO,prominent apophyseal bone formation in the ileac crests and ischia,NA,Human phenotype,prominent apophyseal bone formation in the ileac crests and ischia
DOID:2476,DISO,hereditary spastic paraplegia,familial spastic paraplegia|French settlement disease|hereditary spastic paraparesis|HSMN V|Strumpell-Lorrain disease|Strümpell-Lorrain disease,A paraplegia that is characterized by progressive stiffness and contraction (spasticity) in the lower limbs.,hereditary spastic paraplegia
DOID:11589,DISO,Riley-Day syndrome,familial autonomic nervous dysfunction|familial dysautonomia|HSAN III,Human disease,Riley-Day syndrome
DOID:10595,DISO,Charcot–Marie–Tooth disease,Charcot Marie Tooth muscular atrophy|Charcot-Marie-Tooth disease|Charcot-Marie-Tooth disease、C-M-T|CMT - Charcot-Marie-Tooth disease|Peroneal muscular atrophy,"A neuromuscular disease that is characterized by a slowly progressive degeneration of the muscles of the foot, lower leg, hand and forearm.",Charcot–Marie–Tooth disease
DOID:5212,DISO,congenital disorder of glycosylation,Carbohydrate-deficient glycoprotein syndrome,A carbohydrate metabolic disorder that involves deficient or defective glycosylation of a variety of tissue proteins and/or lipids.,congenital disorder of glycosylation
DOID:0050602,DISO,triple-A syndrome,Allgrove Syndrome|triple-A syndrome|Achalasia-Addisonianism-Alacrimia syndrome,Human disease,triple-A syndrome
DOID:0060308,DISO,autosomal recessive non-syndromic intellectual disability,autosomal recessive mental retardation|autosomal recessive non-syndromic mental retardation,A non-syndromic intellectual disability characterized by an autosomal recessive inheritance pattern.,autosomal recessive non-syndromic intellectual disability
EC:3.5.1.52,GENE,N-glycanase 1,N-glycanase 1|NGLY1|Peptide:N-glycanase,mammalian protein found in Homo sapiens,N-glycanase 1
GO:0071712,PHYS,ER-associated misfolded protein catabolic process,endoplasmic reticulum-associated misfolded protein catabolic process|endoplasmic reticulum-associated misfolded protein catabolism|ER-associated misfolded protein breakdown|ER-associated misfolded protein catabolism|ER-associated misfolded protein degradation|proteasomal protein catabolism of misfolded ER proteins,The chemical reactions and pathways resulting in the breakdown of misfolded proteins transported from the endoplasmic reticulum and targeted to cytoplasmic proteasomes for degradation.,ER-associated misfolded protein catabolic process
GO:0097466,PHYS,glycoprotein ERAD pathway,ER-associated glycoprotein degradation|glycoprotein ERAD|gpERAD,"An ERAD pathway whereby endoplasmic reticulum (ER)-resident glycoproteins are targeted for degradation. Includes differential processing of the glycoprotein sugar chains, retrotranslocation to the cytosol and degradation by the ubiquitin-proteasome p",glycoprotein ERAD pathway
GO:0016567,PHYS,protein ubiquitination,GO:0016567|protein ubiquitinylation|protein ubiquitylation|ubiquitination,The process in which one or more ubiquitin groups are added to a protein.,protein ubiquitination
GO:0000502,GENE,proteasome complex,GO:0000502|proteasome,"A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that a",proteasome complex
GO:0005737,ANAT,cytoplasm,GO:0005737,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",NA
GO:0005794,ANAT,Golgi apparatus,Golgi|GO:0005794|Golgi body|Golgi complex,"A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker mem",Golgi apparatus
HP:0000007,PHYS,Autosomal recessive inheritance,Autosom recessive inheritance|Autosomal Recessive Inheritance|Autosomal recessive|Autosomal recessive form|Autosomal recessive inheritance|Autosomal recessive inheritance (qualifier value)|Autosomal recessive|autosomal inheritance recessive|autosomal recessive|autosomal recessive inheritance|autosomal recessives|recessive autosomal inheritance,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in homozygotes. In the context of medical genetics, autosomal recessive disorders manifest in homozygotes (with two copies of the mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).",NA
HP:0000252,DISO,microcephaly,Microcephalus|microencephaly,Human disease,NA
HP:0000365,DISO,deafness,Hearing impairment|hearing loss,partial or total inability to hear,NA
HP:0000657,DISO,Oculomotor apraxia,Cogan’s Ocular Motor Apraxia|Saccadic Initiation Failure|SIF|OMA|Ocular apraxia,"The absence or defect of controlled, voluntary, and purposeful eye movement",Oculomotor apraxia
HP:0000726,DISO,dementia,HP:0000726,mental disease,NA
HP:0001251,DISO,cerebellar ataxia,HP:0001251,A cerebellar disease characterized by ataxia originating in the cerebellum.,cerebellar ataxia
HP:0001257,DISO,spasticity,Muscle Spasticity,"muscle paralysis, increased tendon reflex activity, hypertonia",NA
HP:0001284,DISO,Areflexia,HP:0001284,NA,NA
HP:0001392,DISO,Liver storage or vacuolization,Hepatocyte cytoplasmic storage material or vacuolization,NA,Liver storage or vacuolization
HP:0001508,DISO,Failure to thrive,decreased growth rate|Pediatric failure to thrive,NA,Failure to thrive
HP:0001511,DISO,Intrauterine growth retardation,IUGR (intrauterine growth restriction),Intrauterine growth restriction (IUGR) refers to the poor growth of a baby while in the mother's womb during pregnancy.,Intrauterine growth retardation
HP:0002136,DISO,Broad-based gait,wide-based gait,An abnormal gait pattern in which persons stand and walk with their feet spaced widely apart. This is often a component of cerebellar ataxia.,Broad-based gait
HP:0002151,DISO,Increased serum lactate,Hyperlactatemia,"Increased levels of lactate in the blood, without evidence of lactic acidosis or shock.",Increased serum lactate
HP:0002187,DISO,intellectual disability,ID|general learning disability|IDD|intellectual developmental disability|mental retardation|syndromic intellectual disability,generalized neurodevelopmental disorder,intellectual disability
HP:0002353,DISO,EEG (electroencephalography) abnormalities, Electroencephalogram abnormal|EGG abnormalities,"Abnormality observed by electroencephalogram (EEG), which is used to record of the brain's spontaneous electrical activity from multiple electrodes placed on the scalp.",EEG (electroencephalography) abnormalities
HP:0002376,DISO,Developmental regression,HP:0002376,"Loss of developmental skills, as manifested by loss of developmental milestones.",Developmental regression
HP:0002571,DISO,achalasia,achalasia of cardia|achalasia of esophagus|achalasia of esophagus (disorder)|cardiospasm|esophageal achalasia|hypertensive lower esophageal sphincter|hypertensive lower esophageal sphincter (disorder)|Lack of reflex relaxation of lower oesophageal sphincter,An esophageal disease that is characterized by an inability of the esophagus to move food toward the stomach resulting from the lower esophogeal sphincter not fully relaxing during swallowing.,NA
HP:0003409,DISO,Distal sensory impairment of all modalities,distal sensory loss,NA,Distal sensory impairment of all modalities
HP:0006254,DISO,Elevated alpha-fetoprotein,Elevated AFP,state where Alpha-fetoprotein levels are outside of the reference range in the blood or amniotic fluid,Elevated alpha-fetoprotein
HP:0006579,DISO,neonatal jaundice,neonatal hyperbilirubinemia|neonatal icterus,"A pigmentation disease characterized by a high level of bilirubin in the blood, causing a yellowing of the skin and other tissues of a newborn infant.",neonatal jaundice
HP:0008259,DISO,Adrenocorticotropin receptor defect,adrenocorticotropin hormone-resistant adrenal insufficiency,NA,Adrenocorticotropin receptor defect
HP:0010605,DISO,meibomian cyst,Chalazion|meibomian gland lipogranuloma,"A blepharitis that is characterized as a cyst in the eyelid that is caused by inflammation of a blocked meibomian gland, usually on the upper eyelid.",meibomian cyst
